ID,XM,YM,Slice
1064,267.82,971.984,20
1065,670.016,1001.966,20
1066,285.002,1020.438,20
1067,206.379,1030.439,20
1068,679.144,21.72,21
1069,902.743,7.978,21
1070,1198.144,52.124,21
1071,677.656,60.163,21
1072,642.04,112.935,21
1073,705.707,123.369,21
1074,1123.312,121.939,21
1075,996.92,167.606,21
1076,513.244,202.833,21
1077,1017.266,247.155,21
1078,572.704,264.805,21
1079,494.235,410.825,21
1080,1120.921,448.84,21
1081,1003.618,472.69,21
1082,815.471,474.73,21
1083,1367.153,474.782,21
1084,701.116,491.108,21
1085,32.788,586.844,21
1086,540.708,736.768,21
1087,987.121,795.06,21
1088,1382.85,803.507,21
1089,28.494,909.986,21
1090,470.125,910.503,21
1091,954.984,928.954,21
1092,1065.439,944.987,21
1093,234.537,977.237,21
1094,681.729,962.111,21
1095,658.085,991.549,21
1096,651.177,1009.486,21
1097,674.282,1020.838,21
1098,686.471,1029.833,21
1099,673.67,18.297,22
1100,914.548,9.693,22
1101,937.788,25.272,22
1102,1212.726,36.142,22
1103,1182.757,57.058,22
1104,697.594,108.297,22
1105,1124.295,121.873,22
1106,996.2,167.741,22
1107,495.147,190.373,22
1108,1022.533,244.095,22
1109,604.768,252.015,22
1110,569.073,265.491,22
1111,488.969,415.683,22
1112,1088.364,424.784,22
1113,804.133,463.28,22
1114,1358.103,461.975,22
1115,1028.381,481.093,22
1116,712.911,500.54,22
1117,22.287,578.881,22
1118,1351.356,608.888,22
1119,541.195,764.063,22
1120,961.913,790.829,22
